3 3 0 ...O.....O.BAA.O.B.....D.C..ZD.CEEZ. Z97 B99 D99
3 3 0 .........OZBAA.OZB...O...C...D.C.EED O99 B99 E99
3 3 0 ..........ZBAA.OZB...O...C.O.D.C.EED O98 B99 E99
3 3 0 ...OZ....OZBAA.O.B.......C...D.C.EED Z99 B99 E99
3 3 0 ...O.....O.BAA.OZB....Z..C...D.C.EED Z99 B99 E99
3 3 0 ...O.....O.BAA.O.B....Z..C..ZD.C.EED Z98 B99 E99
3 3 0 ....Z....OZBAA.O.B...O...C...D.CEE.D O99 Z99 B99
3 3 0 .........O.BAA.OZB...OZ..C...D.CEE.D O99 Z99 B99
3 3 0 .........O.BAA.O.B...OZ..C..ZD.CEE.D O99 Z98 B99
3 3 0 .........O.BAA.O.B...O...C..ZD.CEEZD O99 Z97 B99
3 3 0 ....Z.....ZBAA.O.B...O...C.O.D.CEE.D O98 Z99 B99
3 3 0 ...........BAA.OZB...OZ..C.O.D.CEE.D O98 Z99 B99
3 3 0 ...........BAA.O.B...OZ..C.OZD.CEE.D O98 Z98 B99
3 3 0 ...........BAA.O.B...O...C.OZD.CEEZD O98 Z97 B99
3 3 0 ...O.B...OZBAA.OZ..C...D.C...D..EE.. B98 C99 D99
3 3 0 ...O.B...OZBAA.OZD.C...D.C......EE.. B98 C99 D98
3 3 0 ...O.B...OZBAA.OZ..C.....C...D.EE..D B98 C99 E99
3 3 0 ...O.B...OZBAA.OZ..C.....C...DEE...D B98 C99 E98
3 3 0 ...O.B...OZBAA.OZ..C.....C...D...EED B98 C99 E99
3 3 0 .....B...OZBAA.OZ..C.O...C...D..EE.D O99 B98 C99
3 3 0 .....B....ZBAA.OZ..C.O...C.O.D..EE.D O98 B98 C99
3 3 0 ...OZB...OZBAA.O...C.....C...D..EE.D Z99 B98 C99
3 3 0 ...O.B...O.BAA.OZ..C..Z..C...D..EE.D Z99 B98 C99
3 3 0 ...O.B...O.BAA.O...C..Z..C..ZD..EE.D Z98 B98 C99
3 3 0 ...O.B...O.BAA.O...C.....C..ZD..EEZD Z97 B98 C99
3 3 0 ...O.B...OZBAA.OZ......D.C...D.C.EE. B98 D99 E99
3 3 0 ...O.B...OZBAA.OZ......D.C...D.C..EE B98 D99 E98
3 3 0 .....B...OZBAA.OZ....O.D.C...D.CEE.. O99 B98 D99
3 3 0 .....B....ZBAA.OZ....O.D.C.O.D.CEE.. O98 B98 D99
3 3 0 ...OZB...OZBAA.O.......D.C...D.CEE.. Z99 B98 D99
3 3 0 ...O.B...O.BAA.OZ.....ZD.C...D.CEE.. Z99 B98 D99
3 3 0 ...O.B...O.BAA.O......ZD.C..ZD.CEE.. Z98 B98 D99
3 3 0 ...O.B...O.BAA.O.......D.C..ZD.CEEZ. Z97 B98 D99
3 3 0 ...O.B...OZBAA.OZD.....D.C.....C.EE. B98 D98 E99
3 3 0 ...O.B...OZBAA.OZD.....D.C.....C..EE B98 D98 E98
3 3 0 .....B...OZBAA.OZD...O.D.C.....CEE.. O99 B98 D98
3 3 0 .....B....ZBAA.OZD...O.D.C.O...CEE.. O98 B98 D98
3 3 0 ...OZB...OZBAA.O.D.....D.C.....CEE.. Z99 B98 D98
3 3 0 ...O.B...O.BAA.OZD....ZD.C.....CEE.. Z99 B98 D98
3 3 0 ...O.B...O.BAA.O.D....ZD.C..Z..CEE.. Z98 B98 D98
3 3 0 ...O.B...O.BAA.O.D.....D.C..Z..CEEZ. Z97 B98 D98
3 3 0 .....B...OZBAA.OZ....O...C...D.C.EED O99 B98 E99
3 3 0 .....B....ZBAA.OZ....O...C.O.D.C.EED O98 B98 E99
3 3 0 ...OZB...OZBAA.O.........C...D.C.EED Z99 B98 E99
3 3 0 ...O.B...O.BAA.OZ.....Z..C...D.C.EED Z99 B98 E99
3 3 0 ...O.B...O.BAA.O......Z..C..ZD.C.EED Z98 B98 E99
3 3 0 ....ZB...OZBAA.O.....O...C...D.CEE.D O99 Z99 B98
3 3 0 .....B...O.BAA.OZ....OZ..C...D.CEE.D O99 Z99 B98
3 3 0 .....B...O.BAA.O.....OZ..C..ZD.CEE.D O99 Z98 B98
3 3 0 .....B...O.BAA.O.....O...C..ZD.CEEZD O99 Z97 B98
3 3 0 ....ZB....ZBAA.O.....O...C.O.D.CEE.D O98 Z99 B98
3 3 0 .....B.....BAA.OZ....OZ..C.O.D.CEE.D O98 Z99 B98
3 3 0 .....B.....BAA.O.....OZ..C.OZD.CEE.D O98 Z98 B98
3 3 0 .....B.....BAA.O.....O...C.OZD.CEEZD O98 Z97 B98
3 3 0 .........OZ.AA.OZB.C.O.B.C...D.EE..D O99 C99 E99
3 3 0 ..........Z.AA.OZB.C.O.B.C.O.D.EE..D O98 C99 E99
3 3 0 ..........Z.AA..ZB.C.O.B.C.O.D.EEO.D O97 C99 E99
3 3 0 ...OZ....OZ.AA.O.B.C...B.C...D.EE..D Z99 C99 E99
3 3 0 ...O.....O..AA.OZB.C..ZB.C...D.EE..D Z99 C99 E99
3 3 0 ...O.....O..AA.O.B.C..ZB.C..ZD.EE..D Z98 C99 E99
3 3 0 ...O.....O..AA.O.B.C...B.C..ZD.EE.ZD Z97 C99 E99
3 3 0 .........OZ.AA.OZB.C.O.B.C...DEE...D O99 C99 E98
3 3 0 ..........Z.AA.OZB.C.O.B.C.O.DEE...D O98 C99 E98
3 3 0 ..........Z.AA..ZB.C.O.B.C.O.DEE.O.D O97 C99 E98
3 3 0 ...OZ....OZ.AA.O.B.C...B.C...DEE...D Z99 C99 E98
3 3 0 ...O.....O..AA.OZB.C..ZB.C...DEE...D Z99 C99 E98
3 3 0 ...O.....O..AA.O.B.C..ZB.C..ZDEE...D Z98 C99 E98
3 3 0 ...O.....O..AA.O.B.C...B.C..ZDEE..ZD Z97 C99 E98
3 3 0 .........OZ.AA.OZB.C.O.B.C...D...EED O99 C99 E99
3 3 0 ..........Z.AA.OZB.C.O.B.C.O.D...EED O98 C99 E99
3 3 0 ...OZ....OZ.AA.O.B.C...B.C...D...EED Z99 C99 E99
3 3 0 ...O.....O..AA.OZB.C..ZB.C...D...EED Z99 C99 E99
3 3 0 ...O.....O..AA.O.B.C..ZB.C..ZD...EED Z98 C99 E99
3 3 0 ....Z....OZ.AA.O.B.C.O.B.C...D..EE.D O99 Z99 C99
3 3 0 .........O..AA.OZB.C.OZB.C...D..EE.D O99 Z99 C99
3 3 0 .........O..AA.O.B.C.OZB.C..ZD..EE.D O99 Z98 C99
3 3 0 .........O..AA.O.B.C.O.B.C..ZD..EEZD O99 Z97 C99
3 3 0 ....Z.....Z.AA.O.B.C.O.B.C.O.D..EE.D O98 Z99 C99
3 3 0 ............AA.OZB.C.OZB.C.O.D..EE.D O98 Z99 C99
3 3 0 ............AA.O.B.C.OZB.C.OZD..EE.D O98 Z98 C99
3 3 0 ............AA.O.B.C.O.B.C.OZD..EEZD O98 Z97 C99
3 3 0 ....Z....OZ.AA.O.B...O.B.C...D.C.EED O99 Z99 E99
3 3 0 .........O..AA.OZB...OZB.C...D.C.EED O99 Z99 E99
3 3 0 .........O..AA.O.B...OZB.C..ZD.C.EED O99 Z98 E99
3 3 0 ....Z.....Z.AA.O.B...O.B.C.O.D.C.EED O98 Z99 E99
3 3 0 ............AA.OZB...OZB.C.O.D.C.EED O98 Z99 E99
3 3 0 ............AA.O.B...OZB.C.OZD.C.EED O98 Z98 E99
4 4 0 ...O.....OZB.AAOZB.C...D.C...D..EE.. A99 B99 C99 D99
4 4 0 ...O.....OZB.AAOZB.C.....C...D.EE..D A99 B99 C99 E99
4 4 0 ...O.....OZB.AAOZB.C.....C...DEE...D A99 B99 C99 E98
4 4 0 ...O.....OZB.AAOZB.C.....C...D...EED A99 B99 C99 E99
4 4 0 .........OZB.AAOZB.C.O...C...D..EE.D O99 A99 B99 C99
4 4 0 ..........ZB.AAOZB.C.O...C.O.D..EE.D O98 A99 B99 C99
4 4 0 ...OZ....OZB.AAO.B.C.....C...D..EE.D Z99 A99 B99 C99
4 4 0 ...O.....O.B.AAOZB.C..Z..C...D..EE.D Z99 A99 B99 C99
4 4 0 ...O.....O.B.AAO.B.C..Z..C..ZD..EE.D Z98 A99 B99 C99
4 4 0 ...O.....O.B.AAO.B.C.....C..ZD..EEZD Z97 A99 B99 C99
4 4 0 ...O.....OZB.AAOZB.....D.C...D.C.EE. A99 B99 D99 E99
4 4 0 ...O.....OZB.AAOZB.....D.C...D.C..EE A99 B99 D99 E98
4 4 0 .........OZB.AAOZB...O.D.C...D.CEE.. O99 A99 B99 D99
4 4 0 ..........ZB.AAOZB...O.D.C.O.D.CEE.. O98 A99 B99 D99
4 4 0 ...OZ....OZB.AAO.B.....D.C...D.CEE.. Z99 A99 B99 D99
4 4 0 ...O.....O.B.AAOZB....ZD.C...D.CEE.. Z99 A99 B99 D99
4 4 0 ...O.....O.B.AAO.B....ZD.C..ZD.CEE.. Z98 A99 B99 D99
4 4 0 ...O.....O.B.AAO.B.....D.C..ZD.CEEZ. Z97 A99 B99 D99
4 4 0 .........OZB.AAOZB...O...C...D.C.EED O99 A99 B99 E99
4 4 0 ..........ZB.AAOZB...O...C.O.D.C.EED O98 A99 B99 E99
4 4 0 ...OZ....OZB.AAO.B.......C...D.C.EED Z99 A99 B99 E99
4 4 0 ...O.....O.B.AAOZB....Z..C...D.C.EED Z99 A99 B99 E99
4 4 0 ...O.....O.B.AAO.B....Z..C..ZD.C.EED Z98 A99 B99 E99
4 4 0 ....Z....OZB.AAO.B...O...C...D.CEE.D O99 Z99 A99 B99
4 4 0 .........O.B.AAOZB...OZ..C...D.CEE.D O99 Z99 A99 B99
4 4 0 .........O.B.AAO.B...OZ..C..ZD.CEE.D O99 Z98 A99 B99
4 4 0 .........O.B.AAO.B...O...C..ZD.CEEZD O99 Z97 A99 B99
4 4 0 ....Z.....ZB.AAO.B...O...C.O.D.CEE.D O98 Z99 A99 B99
4 4 0 ...........B.AAOZB...OZ..C.O.D.CEE.D O98 Z99 A99 B99
4 4 0 ...........B.AAO.B...OZ..C.OZD.CEE.D O98 Z98 A99 B99
4 4 0 ...........B.AAO.B...O...C.OZD.CEEZD O98 Z97 A99 B99
4 4 0 ...O.B...OZB.AAOZ..C...D.C...D..EE.. A99 B98 C99 D99
4 4 0 ...O.B...OZB.AAOZD.C...D.C......EE.. A99 B98 C99 D98
4 4 0 ...O.B...OZB.AAOZ..C.....C...D.EE..D A99 B98 C99 E99
4 4 0 ...O.B...OZB.AAOZ..C.....C...DEE...D A99 B98 C99 E98
4 4 0 ...O.B...OZB.AAOZ..C.....C...D...EED A99 B98 C99 E99
4 4 0 .....B...OZB.AAOZ..C.O...C...D..EE.D O99 A99 B98 C99
4 4 0 .....B....ZB.AAOZ..C.O...C.O.D..EE.D O98 A99 B98 C99
4 4 0 ...OZB...OZB.AAO...C.....C...D..EE.D Z99 A99 B98 C99
4 4 0 ...O.B...O.B.AAOZ..C..Z..C...D..EE.D Z99 A99 B98 C99
4 4 0 ...O.B...O.B.AAO...C..Z..C..ZD..EE.D Z98 A99 B98 C99
4 4 0 ...O.B...O.B.AAO...C.....C..ZD..EEZD Z97 A99 B98 C99
4 4 0 ...O.B...OZB.AAOZ......D.C...D.C.EE. A99 B98 D99 E99
4 4 0 ...O.B...OZB.AAOZ......D.C...D.C..EE A99 B98 D99 E98
4 4 0 .....B...OZB.AAOZ....O.D.C...D.CEE.. O99 A99 B98 D99
4 4 0 .....B....ZB.AAOZ....O.D.C.O.D.CEE.. O98 A99 B98 D99
4 4 0 ...OZB...OZB.AAO.......D.C...D.CEE.. Z99 A99 B98 D99
4 4 0 ...O.B...O.B.AAOZ.....ZD.C...D.CEE.. Z99 A99 B98 D99
4 4 0 ...O.B...O.B.AAO......ZD.C..ZD.CEE.. Z98 A99 B98 D99
4 4 0 ...O.B...O.B.AAO.......D.C..ZD.CEEZ. Z97 A99 B98 D99
4 4 0 ...O.B...OZB.AAOZD.....D.C.....C.EE. A99 B98 D98 E99
4 4 0 ...O.B...OZB.AAOZD.....D.C.....C..EE A99 B98 D98 E98
4 4 0 .....B...OZB.AAOZD...O.D.C.....CEE.. O99 A99 B98 D98
4 4 0 .....B....ZB.AAOZD...O.D.C.O...CEE.. O98 A99 B98 D98
4 4 0 ...OZB...OZB.AAO.D.....D.C.....CEE.. Z99 A99 B98 D98
4 4 0 ...O.B...O.B.AAOZD....ZD.C.....CEE.. Z99 A99 B98 D98
4 4 0 ...O.B...O.B.AAO.D....ZD.C..Z..CEE.. Z98 A99 B98 D98
4 4 0 ...O.B...O.B.AAO.D.....D.C..Z..CEEZ. Z97 A99 B98 D98
