3 3 0 .OOO......ZPAA..ZPC.B..PC.B.DD...... O99 P99 B99
3 3 0 .OOOZP....ZPAA...PC.B...C.B.DD...... O99 Z99 B99
3 3 0 .OOO.P.....PAA..ZPC.B.Z.C.B.DD...... O99 Z99 B99
3 3 0 OOO.......ZPAA..ZPC.B..PC.B.DD...... O98 P99 B99
3 3 0 OOO.ZP....ZPAA...PC.B...C.B.DD...... O98 Z99 B99
3 3 0 OOO..P.....PAA..ZPC.B.Z.C.B.DD...... O98 Z99 B99
3 3 0 ...OOO....ZPAA..ZPC.B..PC.B.DD...... O99 P99 B99
3 3 0 ..OOO......PAA..ZPC.B.ZPC.B.DD...... P99 Z99 B99
3 3 0 ..OOOP....ZPCAA.ZPC.......B.DD..B... A99 B98 C99
3 3 0 ..OOOPC...ZPCAA.ZP........B.DD..B... A99 B98 C98
3 3 0 C.OOOPC...ZP.AA.ZP........B.DD..B... A99 B98 C97
3 3 0 ..OOOP....ZP.AA.ZP......C.B.DDC.B... A99 B98 C99
3 3 0 ..OOOP....ZP.AA.ZPC.....C.BDD...B... A99 B98 D99
3 3 0 .OOO.P....ZP.AA.ZPC.....C.B.DD..B... O99 A99 B98
3 3 0 OOO..P....ZP.AA.ZPC.....C.B.DD..B... O98 A99 B98
3 3 0 ..OOO.....ZP.AA.ZPC....PC.B.DD..B... P99 A99 B98
3 3 0 ..OOOP.....P.AA.ZPC...Z.C.B.DD..B... Z99 A99 B98
3 3 0 ..OOOP....ZPC.AAZPC.......B.DD..B... A98 B98 C99
3 3 0 ..OOOPC...ZPC.AAZP........B.DD..B... A98 B98 C98
3 3 0 C.OOOPC...ZP..AAZP........B.DD..B... A98 B98 C97
3 3 0 ..OOOP....ZP..AAZP......C.B.DDC.B... A98 B98 C99
3 3 0 ..OOOP....ZP..AAZPC.....C.BDD...B... A98 B98 D99
3 3 0 .OOO.P....ZP..AAZPC.....C.B.DD..B... O99 A98 B98
3 3 0 OOO..P....ZP..AAZPC.....C.B.DD..B... O98 A98 B98
3 3 0 ..OOO.....ZP..AAZPC....PC.B.DD..B... P99 A98 B98
3 3 0 ..OOOP.....P..AAZPC...Z.C.B.DD..B... Z99 A98 B98
3 3 0 ..OOOP....ZPAA..ZP......C.BDD.C.B... B98 C99 D99
3 3 0 .OOO.P....ZPAA..ZP......C.B.DDC.B... O99 B98 C99
3 3 0 OOO..P....ZPAA..ZP......C.B.DDC.B... O98 B98 C99
3 3 0 ..OOO.....ZPAA..ZP.....PC.B.DDC.B... P99 B98 C99
3 3 0 ..OOOP.....PAA..ZP....Z.C.B.DDC.B... Z99 B98 C99
3 3 0 .OOO.P....ZPAA..ZPC.....C.BDD...B... O99 B98 D99
3 3 0 OOO..P....ZPAA..ZPC.....C.BDD...B... O98 B98 D99
3 3 0 ..OOO.....ZPAA..ZPC....PC.BDD...B... P99 B98 D99
3 3 0 ..OOO.....Z.AA..ZPC....PC.BDDP..B... P98 B98 D99
3 3 0 ..OOO.....Z.AA..Z.C....PC.BDDP..B..P P97 B98 D99
3 3 0 ..OOOP.....PAA..ZPC...Z.C.BDD...B... Z99 B98 D99
3 3 0 .OOO......ZPAA..ZPC....PC.B.DD..B... O99 P99 B98
3 3 0 .OOOZP....ZPAA...PC.....C.B.DD..B... O99 Z99 B98
3 3 0 .OOO.P.....PAA..ZPC...Z.C.B.DD..B... O99 Z99 B98
3 3 0 OOO.......ZPAA..ZPC....PC.B.DD..B... O98 P99 B98
3 3 0 OOO.ZP....ZPAA...PC.....C.B.DD..B... O98 Z99 B98
3 3 0 OOO..P.....PAA..ZPC...Z.C.B.DD..B... O98 Z99 B98
3 3 0 ...OOO....ZPAA..ZPC....PC.B.DD..B... O99 P99 B98
3 3 0 ..OOO......PAA..ZPC...ZPC.B.DD..B... P99 Z99 B98
3 3 0 .OOO.P....ZPAAB.ZP..B...C..DD.C..... O99 C99 D99
3 3 0 OOO..P....ZPAAB.ZP..B...C..DD.C..... O98 C99 D99
3 3 0 ..OOO.....ZPAAB.ZP..B..PC..DD.C..... P99 C99 D99
3 3 0 ..OOO.....Z.AAB.ZP..B..PC..DDPC..... P98 C99 D99
3 3 0 ..OOO.....Z.AAB.Z...B..PC..DDPC....P P97 C99 D99
3 3 0 ..OOOP.....PAAB.ZP..B.Z.C..DD.C..... Z99 C99 D99
3 3 0 .OOO.P....ZPAAB.ZP..B...C.DD..C..... O99 C99 D98
3 3 0 OOO..P....ZPAAB.ZP..B...C.DD..C..... O98 C99 D98
3 3 0 ..OOO.....ZPAAB.ZP..B..PC.DD..C..... P99 C99 D98
3 3 0 ..OOO.....Z.AAB.ZP..B..PC.DD.PC..... P98 C99 D98
3 3 0 ..OOO.....Z.AAB.Z...B..PC.DD.PC....P P97 C99 D98
