3 3 0 ....O....BO.AA.BOZ...CCZ.DPPP..D.... Z99 B99 C97
3 3 0 ....O....BO.AA.BO....CCZ.DPPPZ.D.... Z98 B99 C97
3 3 0 ....O....BO.AA.BO....CC..DPPPZ.D...Z Z97 B99 C97
3 3 0 ....O.....OZAA.BOZ...BCC.DPPP..D.... B98 C96
3 3 0 ....O....BOZAA.BOZ.D..CC.DPPP....... B99 C96 D99
3 3 0 ....O....BOZAA.BOZ....CC.D.PPP.D.... B99 C96 P99
3 3 0 ....OZ...BOZAA.BO.....CC.DPPP..D.... Z99 B99 C96
3 3 0 .........BOZAA.BOZCC..O..D.PPP.D.... O99 B99 P99
3 3 0 .....Z...BOZAA.BO.CC..O..DPPP..D.... O99 Z99 B99
3 3 0 .........BO.AA.BOZCC..OZ.DPPP..D.... O99 Z99 B99
3 3 0 .........BO.AA.BO.CC..OZ.DPPPZ.D.... O99 Z98 B99
3 3 0 .........BO.AA.BO.CC..O..DPPPZ.D...Z O99 Z97 B99
3 3 0 ....OZ...BOZAA.BO.CC.....D.PPP.D.... Z99 B99 P99
3 3 0 ....O....BO.AA.BOZCC...Z.D.PPP.D.... Z99 B99 P99
3 3 0 ....O....BO.AA.BO.....CC.DPPPZ.D...Z Z97 B99 C96
3 3 0 ...BO....BOZ..AAOZ.CC....DPPP..D.... A98 B98 C99
3 3 0 ...BO....BOZ..AAOZ..CC...DPPP..D.... A98 B98 C98
3 3 0 ...BO....BOZ..AAOZ...CC..DPPP..D.... A98 B98 C97
3 3 0 ...BO....BOZ..AAOZ....CC.DPPP..D.... A98 B98 C96
3 3 0 ...B.....BOZ..AAOZCC..O..DPPP..D.... O99 A98 B98
3 3 0 ...BO....BOZ..AAOZCC.....D.PPP.D.... A98 B98 P99
3 3 0 ...BOZ...BOZ..AAO.CC.....DPPP..D.... Z99 A98 B98
3 3 0 ...BO....BO...AAOZCC...Z.DPPP..D.... Z99 A98 B98
3 3 0 ...BO....BO...AAO.CC...Z.DPPPZ.D.... Z98 A98 B98
3 3 0 ...BO....BO...AAO.CC.....DPPPZ.D...Z Z97 A98 B98
3 3 0 ...B.....BOZAA..OZ.CC.O..DPPP..D.... O99 B98 C99
3 3 0 ...BO....BOZAA..OZ.CC....D.PPP.D.... B98 C99 P99
3 3 0 ...BOZ...BOZAA..O..CC....DPPP..D.... Z99 B98 C99
3 3 0 ...BO....BO.AA..OZ.CC..Z.DPPP..D.... Z99 B98 C99
3 3 0 ...BO....BO.AA..O..CC..Z.DPPPZ.D.... Z98 B98 C99
3 3 0 ...BO....BO.AA..O..CC....DPPPZ.D...Z Z97 B98 C99
3 3 0 ...BO....BOZAA..OZ.DCC...DPPP....... B98 C98 D99
3 3 0 ...B.....BOZAA..OZ..CCO..DPPP..D.... O99 B98 C98
3 3 0 ...BO....BOZAA..OZ..CC...D.PPP.D.... B98 C98 P99
3 3 0 ...BOZ...BOZAA..O...CC...DPPP..D.... Z99 B98 C98
3 3 0 ...BO....BO.AA..OZ..CC.Z.DPPP..D.... Z99 B98 C98
3 3 0 ...BO....BO.AA..O...CC.Z.DPPPZ.D.... Z98 B98 C98
3 3 0 ...BO....BO.AA..O...CC...DPPPZ.D...Z Z97 B98 C98
3 3 0 ...BO....BOZAA..OZ.D.CC..DPPP....... B98 C97 D99
3 3 0 ...BO....BOZAA..OZ...CC..D.PPP.D.... B98 C97 P99
3 3 0 ...BOZ...BOZAA..O....CC..DPPP..D.... Z99 B98 C97
3 3 0 ...BO....BO.AA..OZ...CCZ.DPPP..D.... Z99 B98 C97
3 3 0 ...BO....BO.AA..O....CCZ.DPPPZ.D.... Z98 B98 C97
3 3 0 ...BO....BO.AA..O....CC..DPPPZ.D...Z Z97 B98 C97
3 3 0 ...BO....BOZAA..OZ.D..CC.DPPP....... B98 C96 D99
3 3 0 ...BO....BOZAA..OZ....CC.D.PPP.D.... B98 C96 P99
3 3 0 ...BOZ...BOZAA..O.....CC.DPPP..D.... Z99 B98 C96
3 3 0 ...B.....BOZAA..OZCC..O..D.PPP.D.... O99 B98 P99
3 3 0 ...B.Z...BOZAA..O.CC..O..DPPP..D.... O99 Z99 B98
3 3 0 ...B.....BO.AA..OZCC..OZ.DPPP..D.... O99 Z99 B98
3 3 0 ...B.....BO.AA..O.CC..OZ.DPPPZ.D.... O99 Z98 B98
3 3 0 ...B.....BO.AA..O.CC..O..DPPPZ.D...Z O99 Z97 B98
3 3 0 ...BOZ...BOZAA..O.CC.....D.PPP.D.... Z99 B98 P99
3 3 0 ...BO....BO.AA..OZCC...Z.D.PPP.D.... Z99 B98 P99
3 3 0 ...BO....BO.AA..O.....CC.DPPPZ.D...Z Z97 B98 C96
3 3 0 ..........OZAA.BOZ.CCBO..D.PPP.D.... O99 C99 P99
3 3 0 .....Z....OZAA.BO..CCBO..DPPP..D.... O99 Z99 C99
3 3 0 ..........O.AA.BOZ.CCBOZ.DPPP..D.... O99 Z99 C99
3 3 0 ..........O.AA.BO..CCBOZ.DPPPZ.D.... O99 Z98 C99
3 3 0 ..........O.AA.BO..CCBO..DPPPZ.D...Z O99 Z97 C99
3 3 0 ....OZ....OZAA.BO..CCB...D.PPP.D.... Z99 C99 P99
3 3 0 ....O.....O.AA.BOZ.CCB.Z.D.PPP.D.... Z99 C99 P99
3 3 0 .....Z....OZAA.BO.CC.BO..D.PPP.D.... O99 Z99 P99
3 3 0 ..........O.AA.BOZCC.BOZ.D.PPP.D.... O99 Z99 P99
4 4 0 .........BOZ.AABOZ.CC.O..DPPP..D.... O99 A99 B99 C99
4 4 0 ....O....BOZ.AABOZ.CC....D.PPP.D.... A99 B99 C99 P99
4 4 0 ....OZ...BOZ.AABO..CC....DPPP..D.... Z99 A99 B99 C99
4 4 0 ....O....BO..AABOZ.CC..Z.DPPP..D.... Z99 A99 B99 C99
4 4 0 ....O....BO..AABO..CC..Z.DPPPZ.D.... Z98 A99 B99 C99
4 4 0 ....O....BO..AABO..CC....DPPPZ.D...Z Z97 A99 B99 C99
4 4 0 ....O....BOZ.AABOZ.DCC...DPPP....... A99 B99 C98 D99
4 4 0 .........BOZ.AABOZ..CCO..DPPP..D.... O99 A99 B99 C98
4 4 0 ....O....BOZ.AABOZ..CC...D.PPP.D.... A99 B99 C98 P99
4 4 0 ....OZ...BOZ.AABO...CC...DPPP..D.... Z99 A99 B99 C98
4 4 0 ....O....BO..AABOZ..CC.Z.DPPP..D.... Z99 A99 B99 C98
4 4 0 ....O....BO..AABO...CC.Z.DPPPZ.D.... Z98 A99 B99 C98
4 4 0 ....O....BO..AABO...CC...DPPPZ.D...Z Z97 A99 B99 C98
4 4 0 ....O....BOZ.AABOZ.D.CC..DPPP....... A99 B99 C97 D99
4 4 0 ....O....BOZ.AABOZ...CC..D.PPP.D.... A99 B99 C97 P99
4 4 0 ....OZ...BOZ.AABO....CC..DPPP..D.... Z99 A99 B99 C97
4 4 0 ....O....BO..AABOZ...CCZ.DPPP..D.... Z99 A99 B99 C97
4 4 0 ....O....BO..AABO....CCZ.DPPPZ.D.... Z98 A99 B99 C97
4 4 0 ....O....BO..AABO....CC..DPPPZ.D...Z Z97 A99 B99 C97
4 4 0 ....O.....OZ.AABOZ...BCC.DPPP..D.... A99 B98 C96
4 4 0 ....O....BOZ.AABOZ.D..CC.DPPP....... A99 B99 C96 D99
4 4 0 ....O....BOZ.AABOZ....CC.D.PPP.D.... A99 B99 C96 P99
4 4 0 ....OZ...BOZ.AABO.....CC.DPPP..D.... Z99 A99 B99 C96
4 4 0 .........BOZ.AABOZCC..O..D.PPP.D.... O99 A99 B99 P99
4 4 0 .....Z...BOZ.AABO.CC..O..DPPP..D.... O99 Z99 A99 B99
4 4 0 .........BO..AABOZCC..OZ.DPPP..D.... O99 Z99 A99 B99
4 4 0 .........BO..AABO.CC..OZ.DPPPZ.D.... O99 Z98 A99 B99
