4 4 0 P...O.P...O.P.AAO...ZZ..BB..CC...... A98 P97 Z98 B98
4 4 0 P...O.P...O.P.AAO..ZZ...BB..CC...... A98 P97 Z97 B98
4 4 0 P...O.P...O.P.AAO.ZZ....BB..CC...... A98 P97 Z96 B98
4 4 0 P.....P...O.P.AAO...ZZO...BBCC...... O99 A98 P97 Z98
4 4 0 P.....P...O.P.AAO..ZZ.O...BBCC...... O99 A98 P97 Z97
4 4 0 P.....P...O.P.AAO.ZZ..O...BBCC...... O99 A98 P97 Z96
4 4 0 ..........O.AA..O.P.ZZO.PBBCC.P..... O99 Z98 B99 C99
4 4 0 ..........O.AA..O.PZZ.O.PBBCC.P..... O99 Z97 B99 C99
5 5 0 ....O.....O.PAA.O.P..ZZ.PBBCC....... A99 P99 Z99 B99 C99
5 5 0 ....O.....O.PAA.O.P.ZZ..PBBCC....... A99 P99 Z98 B99 C99
5 5 0 ....O.....O.PAA.O.PZZ...PBBCC....... A99 P99 Z97 B99 C99
5 5 0 ....O.P...O.PAA.O.P..ZZ..BBCC....... A99 P98 Z99 B99 C99
5 5 0 ....O.P...O.PAA.O.P.ZZ...BBCC....... A99 P98 Z98 B99 C99
5 5 0 ....O.P...O.PAA.O.PZZ....BBCC....... A99 P98 Z97 B99 C99
5 5 0 P...O.P...O.PAA.O....ZZ..BBCC....... A99 P97 Z99 B99 C99
5 5 0 P...O.P...O.PAA.O...ZZ...BBCC....... A99 P97 Z98 B99 C99
5 5 0 P...O.P...O.PAA.O..ZZ....BBCC....... A99 P97 Z97 B99 C99
5 5 0 P...O.P...O.PAA.O.ZZ.....BBCC....... A99 P97 Z96 B99 C99
5 5 0 ..........O..AA.O.P.ZZO.PBBCC.P..... O99 A99 Z98 B99 C99
5 5 0 ..........O..AA.O.PZZ.O.PBBCC.P..... O99 A99 Z97 B99 C99
5 5 0 ..........O.PAA.O.P.ZZO.PBB.CC...... O99 A99 P99 Z98 B99
5 5 0 ..........O.PAA.O.PZZ.O.PBB.CC...... O99 A99 P99 Z97 B99
5 5 0 ......P...O.PAA.O.P.ZZO..BB.CC...... O99 A99 P98 Z98 B99
5 5 0 ......P...O.PAA.O.PZZ.O..BB.CC...... O99 A99 P98 Z97 B99
5 5 0 P.....P...O.PAA.O...ZZO..BB.CC...... O99 A99 P97 Z98 B99
5 5 0 P.....P...O.PAA.O..ZZ.O..BB.CC...... O99 A99 P97 Z97 B99
5 5 0 P.....P...O.PAA.O.ZZ..O..BB.CC...... O99 A99 P97 Z96 B99
5 5 0 ....O.P...O.PAA.O.P..ZZ.BB.CC....... A99 P98 Z99 B98 C99
5 5 0 ....O.P...O.PAA.O.P.ZZ..BB.CC....... A99 P98 Z98 B98 C99
5 5 0 ....O.P...O.PAA.O.PZZ...BB.CC....... A99 P98 Z97 B98 C99
5 5 0 ....O.P...O.PAA.O.P..ZZ.BBCC........ A99 P98 Z99 B98 C98
5 5 0 ....O.P...O.PAA.O.P.ZZ..BBCC........ A99 P98 Z98 B98 C98
5 5 0 ....O.P...O.PAA.O.PZZ...BBCC........ A99 P98 Z97 B98 C98
5 5 0 ......P...O.PAA.O.P.ZZO.BB..CC...... O99 A99 P98 Z98 B98
5 5 0 ......P...O.PAA.O.PZZ.O.BB..CC...... O99 A99 P98 Z97 B98
5 5 0 P...O.P...O.PAA.O....ZZ.BB.CC....... A99 P97 Z99 B98 C99
5 5 0 P...O.P...O.PAA.O...ZZ..BB.CC....... A99 P97 Z98 B98 C99
5 5 0 P...O.P...O.PAA.O..ZZ...BB.CC....... A99 P97 Z97 B98 C99
5 5 0 P...O.P...O.PAA.O.ZZ....BB.CC....... A99 P97 Z96 B98 C99
5 5 0 P...O.P...O.PAA.O....ZZ.BBCC........ A99 P97 Z99 B98 C98
5 5 0 P...O.P...O.PAA.O...ZZ..BBCC........ A99 P97 Z98 B98 C98
5 5 0 P...O.P...O.PAA.O..ZZ...BBCC........ A99 P97 Z97 B98 C98
5 5 0 P...O.P...O.PAA.O.ZZ....BBCC........ A99 P97 Z96 B98 C98
5 5 0 P.....P...O.PAA.O...ZZO.BB..CC...... O99 A99 P97 Z98 B98
5 5 0 P.....P...O.PAA.O..ZZ.O.BB..CC...... O99 A99 P97 Z97 B98
5 5 0 P.....P...O.PAA.O.ZZ..O.BB..CC...... O99 A99 P97 Z96 B98
5 5 0 ....O.....O.P.AAO.P..ZZ.PBBCC....... A98 P99 Z99 B99 C99
5 5 0 ....O.....O.P.AAO.P.ZZ..PBBCC....... A98 P99 Z98 B99 C99
5 5 0 ....O.....O.P.AAO.PZZ...PBBCC....... A98 P99 Z97 B99 C99
5 5 0 ....O.P...O.P.AAO.P..ZZ..BBCC....... A98 P98 Z99 B99 C99
5 5 0 ....O.P...O.P.AAO.P.ZZ...BBCC....... A98 P98 Z98 B99 C99
5 5 0 ....O.P...O.P.AAO.PZZ....BBCC....... A98 P98 Z97 B99 C99
5 5 0 P...O.P...O.P.AAO....ZZ..BBCC....... A98 P97 Z99 B99 C99
5 5 0 P...O.P...O.P.AAO...ZZ...BBCC....... A98 P97 Z98 B99 C99
5 5 0 P...O.P...O.P.AAO..ZZ....BBCC....... A98 P97 Z97 B99 C99
5 5 0 P...O.P...O.P.AAO.ZZ.....BBCC....... A98 P97 Z96 B99 C99
5 5 0 ..........O...AAO.P.ZZO.PBBCC.P..... O99 A98 Z98 B99 C99
5 5 0 ..........O...AAO.PZZ.O.PBBCC.P..... O99 A98 Z97 B99 C99
5 5 0 ..........O.P.AAO.P.ZZO.PBB.CC...... O99 A98 P99 Z98 B99
5 5 0 ..........O.P.AAO.PZZ.O.PBB.CC...... O99 A98 P99 Z97 B99
5 5 0 ......P...O.P.AAO.P.ZZO..BB.CC...... O99 A98 P98 Z98 B99
