3 0 3 ....O.....OZAA.BOZCC.B...DPPP..D....
1 0 1 .D.BO..D.BO...AAO.....CC..PPPZ.....Z Z97 A98 B98 C96 D96
1 0 1 ...B.....BO.AA..O..DCCO..DPPPZ.....Z O99 Z97 B98 C98 D99
1 0 1 ...B.Z...BOZ.AA.O..CC.O..D.PPP.D.... O99 Z99 A99 B98 C99 P99
1 0 1 ...B.Z...BOZ.AA.O..DCCO..DPPP....... O99 Z99 A99 B98 C98 D99
1 0 1 ...BOZ...BOZ.AA.O..DCC...D.PPP...... Z99 A99 B98 C98 D99 P99
1 0 1 ...B.Z...BOZ.AA.O...CCO..D.PPP.D.... O99 Z99 A99 B98 C98 P99
1 0 1 ...BOZ...BOZ.AA.O..D.CC..D.PPP...... Z99 A99 B98 C97 D99 P99
1 0 1 ...BOZ...BOZ.AA.O..D..CC.D.PPP...... Z99 A99 B98 C96 D99 P99
1 0 1 ...B.Z...BOZ..AAO..CC.O..D.PPP.D.... O99 Z99 A98 B98 C99 P99
1 0 1 ...B.Z...BOZ..AAO..DCCO..DPPP....... O99 Z99 A98 B98 C98 D99
1 0 1 ...BOZ...BOZ..AAO..DCC...D.PPP...... Z99 A98 B98 C98 D99 P99
1 0 1 ...B.Z...BOZ.DAAO..DCCO...PPP....... O99 Z99 A98 B98 C98 D98
1 0 1 ...BOZ...BOZ.DAAO..DCC...PPP........ Z99 A98 B98 C98 D98 P99
0 0 0 ...B.Z...B.Z.DAA...DCCO..PPPO.....O. O97 Z99 A98 B98 C98 D98 P99
0 0 0 ...B.Z...B.Z.D.AA..DCCO..PPPO.....O. O97 Z99 A97 B98 C98 D98 P99
0 0 0 ...B.Z...B.Z.D..AA.DCCO..PPPO.....O. O97 Z99 A96 B98 C98 D98 P99
